county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Al, Ketchikan Gateway Borough",2,130,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0
"Al, Kodiak Island Borough",2,150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Al, Kusilvak Census Area",2,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Lake and Peninsula Borough",2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Matanuska-Susitna Borough",2,170,0,0,0,0,1,0,4,1,1,3,1,1,4,3,1,3,1,1
"Al, Nome Census Area",2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, North Slope Borough",2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Northwest Arctic Borough",2,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Petersburg Borough",2,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Prince of Wales-Hyder Census Area",2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Sitka City and Borough",2,220,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
"Al, Skagway Municipality",2,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Southeast Fairbanks Census Area",2,240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Valdez-Cordova Census Area",2,261,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Al, Wrangell City and Borough",2,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Yakutat City and Borough",2,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Yukon-Koyukuk Census Area",2,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ar, Apache County",4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ar, Cochise County",4,3,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0
"Ar, Coconino County",4,5,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,3,2
"Ar, Gila County",4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0
"Ar, Graham County",4,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ar, Greenlee County",4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
