county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"AR, Grant",,0,,,,,,,,,,,,,,,0,,,
"AR, Greene",,0,0,1,0,0,0,0,0,,,,0,,,,,,,
"AR, Hempstead",,0,0,,,1,,,,,,3,,,,,,,,
"AR, Hot Spring",,0,0,,,,,,,,,,,,,0,,,,
"AR, Howard",,0,,,,0,,,,,,0,,,,,0,,,
"AR, Independence",,1,0,0,,0,0,1,1,,,,,1,,,,,,
"AR, Izard",,0,,1,,0,,,,,,0,,,,,,,,
"AR, Jackson",,,0,0,,0,,,,,,0,,,,,,,,
"AR, Jefferson",,9,7,2,5,5,3,4,0,2,1,2,2,,3,,1,2,1,
"AR, Johnson",,0,1,0,,,,,,,,,,,,,,,,
"AR, Lafayette",,0,0,,,1,,,,,,,,,,,,,,
"AR, Lawrence",,1,0,0,,1,,,,,,,,,,,,,,
"AR, Lee",,0,0,0,0,0,0,0,,,,,,,,,,,,
"AR, Lincoln",,0,,1,0,,,,,1,,,,,,,1,,1,
"AR, Little River",,0,0,,,0,,,,,,1,0,1,,1,,,,
"AR, Logan",,0,0,0,0,0,1,,,,,0,1,,,,,,,
"AR, Lonoke",,0,0,1,,1,,,,,,2,0,,1,1,1,,,
"AR, Madison",,0,0,,,0,,,,,,1,0,,,,,0,,
"AR, Marion",,0,0,,0,0,,1,,,,,,,,,1,,,
"AR, Miller",,0,3,0,0,,1,,1,,,5,,1,,2,,1,,
"AR, Mississippi",,0,0,1,0,0,1,,,,,,,,,,,,,
"AR, Monroe",,0,0,0,,0,,,,,,,,,,,,,,
"AR, Montgomery",,0,,,0,,,,,,,,,,,,,,,
"AR, Nevada",,0,,1,,1,,,,,,,,,,,,,,
"AR, Newton",,,0,,,,,,,,,,,,,,,,,0
"AR, Ouachita",,0,0,1,,,,,,,,1,,,,1,1,,,
"AR, Perry",,0,,,,0,,,,,,,,,,0,,,,
"AR, Phillips",,0,0,1,,1,,,,,,1,,,,,,,,
"AR, Pike",,0,,0,,,,,,,,,,,,,,,,
"AR, Poinsett",,0,0,0,,,,,,,,,,,,,,,,
"AR, Polk",,0,,0,,0,,,,,,,,,,0,,,,
"AR, Pope",,0,2,1,0,0,,,,,,1,,,,,,,,
"AR, Prairie",,0,,,,0,,,,,,,,,,,,,,
"AR, Pulaski",,8,3,6,3,8,3,1,,,,14,2,1,,,3,,2,
"AR, Randolph",,0,0,0,,0,,,,,,1,,,,,,,,
"AR, Saline",0,0,0,0,1,1,1,,,,,3,1,,,0,2,,1,1
"AR, Scott",,0,0,1,,0,1,,,,,,1,,,,,,,
"AR, Searcy",,,,,,1,,,,,,0,,,,,,,,
