county,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alachua County,FL,22.96,24.05,18.47,38.63,14.64,12.97,18.42,19.84,19.87,15.95,14.98,21.5,24.26,21.62,28.75,17.81,29.63,21.31,17.57,23.81,31.33
Alamance County,NC,9.98,12.54,20.88,19.03,9.16,12.56,4.15,18.06,7.43,14.41,10.58,17.81,14.06,9.61,12.91,14.72,7.41,22.08,7.98,16.7,14.19
Alameda County,CA,0.16,0.01,0.11,0.3,0.13,0,0.24,0,0.28,0.01,0.01,0.01,0.54,0.41,0.07,0,0.07,0,0.19,0.07,0.02
Alamosa County,CO,4.49,3.57,4.56,3.59,4.02,6.66,6.07,3.89,2.62,3.89,3.69,4.02,7.08,4.42,3.61,4.05,6.92,3.6,3.03,4.52,3.1
Albany County,NY,7.87,8.74,14.57,19.02,9.23,12.15,10.39,13.78,13.87,8.82,22.47,11.91,11.67,9.35,13.4,10.1,8.86,17.46,9.38,12.37,19.03
Albany County,WY,3.7,3.5,3.01,5.59,2.45,4.77,4.59,3.74,3.63,2.53,3.01,2.73,6.92,6.51,3.22,1.82,4.05,2.72,2.62,1.86,3.75
Albemarle County,VA,10.21,10.26,22.11,16.92,9.54,12.21,6.65,13.78,10.3,9.93,14.64,12.56,13.44,8.34,12.66,9.51,9.51,21.33,8.02,17.75,13.3
Alcona County,MI,9.62,7.17,8.47,6.91,11.84,11.53,6.85,10.48,10.66,12.03,8.26,7.25,7.27,13.68,7.81,9.98,8.6,11.37,8.02,10.91,12.23
Alcorn County,MS,11.68,17.86,15.85,13.96,18.75,7.85,6.76,10.15,22.25,11.73,11.32,11.31,11.43,11.85,11.23,12.03,15.59,11.97,12.11,17.86,16.67
Alexander County,IL,15.32,10.13,12.7,7.73,14.9,16.77,6.54,8.96,11.27,9.46,9.91,9.67,7.69,7.48,13.27,18.19,5.53,10.09,12.21,11.55,11.71
