county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,lat,lon,FIPS
"AL, Dallas",0.0,1.0,1.0,,1.0,,,0.0,0.0,,,1.0,,,2.0,,2.0,,,1.0,32.33354,-87.114356,1047
"AL, De Kalb",,0.0,0.0,,,,,,,,,0.0,,,,,,,,,34.460929,-85.803992,1049
"AL, Elmore",,0.0,,0.0,1.0,,,,,,,,,,,,3.0,,,1.0,32.597229,-86.142739,1051
"AL, Escambia",,0.0,1.0,,0.0,,,1.0,0.0,,,1.0,,,,,,,,,31.121748,-87.168429,1053
"AL, Etowah",,1.0,0.0,,1.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,34.047638,-86.03442,1055
"AL, Fayette",,0.0,0.0,,,,,,,,,,,,,,0.0,1.0,,,33.732249,-87.752049,1057
"AL, Franklin",,0.0,,,,,,,,,,,,,,,1.0,,,,34.441988,-87.842815,1059
"AL, Geneva",,0.0,2.0,,,,1.0,,,,,6.0,,,,,,,,,31.090866,-85.824346,1061
"AL, Greene",,0.0,0.0,0.0,,,,,,,,,,,,,,,,,32.844497,-87.964201,1063
"AL, Hale",,0.0,0.0,,,,,,,,,,,,,,,,,,32.752796,-87.623061,1065
"AL, Henry",,0.0,,,,,,,,,,,,,,,1.0,,,,31.516978,-85.239971,1067
"AL, Houston",,1.0,1.0,0.0,,,1.0,,,,,8.0,,,,,0.0,0.0,,,31.158193,-85.296398,1069
"AL, Jackson",,0.0,0.0,,,1.0,,,,,,,,,,,,,,,34.763522,-85.9774,1071
"AL, Jefferson",2.0,12.0,8.0,0.0,1.0,3.0,0.0,6.0,,,3.0,5.0,1.0,0.0,1.0,2.0,6.0,6.0,,1.0,33.553444,-86.896536,1073
"AL, Lamar",,0.0,,,,,,,,,,,,,,,0.0,,,,33.787085,-88.087431,1075
"AL, Lauderdale",,0.0,,,,,,,,,,1.0,,,,,,,,,34.904122,-87.650997,1077
"AL, Lawrence",,0.0,0.0,,,,,,0.0,,,,,,,,,,,,34.529776,-87.321865,1079
"AL, Lee",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,,,1.0,0.0,,,0.0,32.604064,-85.353048,1081
"AL, Limestone",,0.0,0.0,0.0,,,,1.0,,,,0.0,,,,1.0,,,,,34.810239,-86.9814,1083
"AL, Lowndes",,0.0,,,0.0,,,,,,,,,,,,,,,,32.147888,-86.650586,1085
"AL, Macon",,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,32.387027,-85.692887,1087
"AL, Madison",0.0,1.0,0.0,0.0,,,1.0,,,,,1.0,,,,1.0,2.0,,,0.0,34.764238,-86.55108,1089
"AL, Marengo",,2.0,0.0,,,,,0.0,,,,1.0,,,,0.0,,,,,32.247591,-87.791091,1091
"AL, Marion",,1.0,,,,,,,,,,0.0,,,,,,,,,34.138219,-87.881551,1093
"AL, Marshall",0.0,0.0,1.0,0.0,,0.0,2.0,,,,,,,,,,,,0.0,,34.309564,-86.321668,1095
"AL, Mobile",0.0,5.0,3.0,13.0,0.0,3.0,1.0,3.0,,3.0,1.0,9.0,1.0,0.0,3.0,3.0,0.0,14.0,3.0,3.0,30.684573,-88.196568,1097
"AL, Monroe",,0.0,1.0,,,,,,,,,,,,,,1.0,,,,31.580332,-87.383266,1099
"AL, Montgomery",0.0,10.0,3.0,0.0,6.0,,13.0,1.0,,,,11.0,0.0,,,0.0,12.0,1.0,,,32.203651,-86.203831,1101
"AL, Morgan",,0.0,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,34.454484,-86.846402,1103
"AL, Perry",,0.0,,,,,,,,,,1.0,,,,,,,,,32.639005,-87.293827,1105
"AL, Pickens",,0.0,0.0,,,,,,,,,,,1.0,,,,,1.0,,33.296809,-88.096878,1107
"AL, Pike",,0.0,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,31.798726,-85.941997,1109
"AL, Randolph",,0.0,0.0,,,,,,,,,,,,,,,,,,33.296475,-85.464068,1111
"AL, Russell",0.0,0.0,,,,0.0,1.0,0.0,0.0,,,,,,1.0,,,,,,32.289811,-85.18698,1113
"AL, Shelby",0.0,0.0,2.0,,0.0,,0.0,,,,,1.0,,,,,4.0,1.0,,,33.262937,-86.678104,1117
"AL, St Clair",,0.0,0.0,,0.0,,,,,,,,,,,,,,,,33.712963,-86.315663,1115
"AL, Sumter",,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,1.0,,,,32.597481,-88.200057,1119
"AL, Talladega",0.0,0.0,1.0,0.0,,,,1.0,,,,,1.0,,,,,1.0,,,33.369277,-86.175805,1121
"AL, Tallapoosa",,0.0,,,,,,,,,,,,,,,,,,,32.863369,-85.799553,1123
"AL, Tuscaloosa",0.0,7.0,0.0,2.0,,,,4.0,,,1.0,3.0,4.0,,,3.0,3.0,2.0,,1.0,33.290202,-87.52286,1125
"AL, Walker",,0.0,0.0,0.0,,,,,,,,,,,,,,,,,33.791571,-87.301092,1127
"AL, Washington",,0.0,0.0,,,,,,,,,,,,,1.0,,,,,31.406974,-88.202078,1129
"AL, Wilcox",,0.0,1.0,,,0.0,,,,,,1.0,,,,,,,,,31.99033,-87.302205,1131
"AL, Winston",,0.0,0.0,,,,,,,,,1.0,,,,,,,,,34.155888,-87.364147,1133
"AR, Arkansas",,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,34.289574,-91.376547,5001
"AR, Ashley",,2.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,,33.190835,-91.772267,5003
"AR, Baxter",,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,36.28071,-92.330438,5005
"AR, Benton",,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,,,2.0,1.0,,,,,1.0,,,36.337825,-94.256187,5007
"AR, Boone",,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,1.0,,,,,,,,36.304308,-93.079204,5009
"AR, Bradley",,3.0,1.0,0.0,1.0,1.0,0.0,,,4.0,,2.0,1.0,,4.0,,0.0,,,,33.463819,-92.168164,5011
"AR, Calhoun",,,,,0.0,,,,,,,,,,,,,,,,33.56046,-92.513879,5013
"AR, Carroll",,,,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,36.337774,-93.541663,5015
"AR, Chicot",,0.0,0.0,1.0,,,,,,,,0.0,,,,,,,,,33.267139,-91.297158,5017
"AR, Clark",,1.0,0.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,34.053312,-93.176205,5019
"AR, Clay",,0.0,0.0,,,1.0,,,,,,,,,,,,,,,36.367302,-90.418704,5021
"AR, Cleburne",,0.0,1.0,,,1.0,,,,,,,,,,,,,,,35.566288,-92.059974,5023
"AR, Cleveland",,0.0,0.0,,,,1.0,,,,,,,,,,,,,,33.893201,-92.188714,5025
"AR, Columbia",,0.0,1.0,0.0,1.0,,,,,,,4.0,,1.0,1.0,2.0,1.0,,0.0,,33.21507,-93.226901,5027
"AR, Conway",,0.0,0.0,,1.0,0.0,,,,,,,,,,0.0,,,,,35.265702,-92.689248,5029
"AR, Craighead",,0.0,0.0,1.0,,0.0,0.0,,,,,1.0,,,2.0,,,,1.0,,35.828268,-90.630411,5031
"AR, Crawford",,0.0,0.0,0.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,35.583041,-94.236224,5033
"AR, Crittenden",,4.0,,0.0,1.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,35.211878,-90.315331,5035
"AR, Cross",,0.0,,,,,,,,,,,,,,,,,,,35.291259,-90.773894,5037
"AR, Dallas",,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,,33.967823,-92.653999,5039
"AR, Desha",,1.0,0.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,33.828748,-91.244427,5041
"AR, Drew",,2.0,1.0,1.0,2.0,1.0,2.0,,,,,2.0,,,,0.0,,,,,33.587242,-91.722778,5043
"AR, Faulkner",,1.0,0.0,0.0,,0.0,,,,,,1.0,,,,0.0,,,0.0,,35.146356,-92.324654,5045
"AR, Franklin",,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,35.508573,-93.887672,5047
"AR, Fulton",,,,,,0.0,,,,,,,,,0.0,,,,,,36.383443,-91.819239,5049
"AR, Garland",,0.0,,1.0,2.0,0.0,,,,,,,2.0,1.0,,1.0,,,,,34.578861,-93.146915,5051
"AR, Grant",,0.0,,,,,,,,,,,,,,,0.0,,,,34.288063,-92.423984,5053
"AR, Greene",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,36.119922,-90.565241,5055
"AR, Hempstead",,0.0,0.0,,,1.0,,,,,,3.0,,,,,,,,,33.728611,-93.665809,5057
"AR, Hot Spring",,0.0,0.0,,,,,,,,,,,,,0.0,,,,,34.315177,-92.944147,5059
"AR, Howard",,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,34.083179,-93.990988,5061
"AR, Independence",,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,,,,,1.0,,,,,,,35.737499,-91.559942,5063
"AR, Izard",,0.0,,1.0,,0.0,,,,,,0.0,,,,,,,,,36.094879,-91.913625,5065
"AR, Jackson",,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,35.596605,-91.223178,5067
"AR, Jefferson",,9.0,7.0,2.0,5.0,5.0,3.0,4.0,0.0,2.0,1.0,2.0,2.0,,3.0,,1.0,2.0,1.0,,34.277696,-91.930701,5069
"AR, Johnson",,0.0,1.0,0.0,,,,,,,,,,,,,,,,,35.573359,-93.466322,5071
"AR, Lafayette",,0.0,0.0,,,1.0,,,,,,,,,,,,,,,33.24066,-93.611643,5073
"AR, Lawrence",,1.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,36.041098,-91.101153,5075
"AR, Lee",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,34.77975,-90.779288,5077
"AR, Lincoln",,0.0,,1.0,0.0,,,,,1.0,,,,,,,1.0,,1.0,,33.957665,-91.727624,5079
"AR, Little River",,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,,1.0,,,,,33.699497,-94.229774,5081
"AR, Logan",,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,35.21855,-93.720563,5083
"AR, Lonoke",,0.0,0.0,1.0,,1.0,,,,,,2.0,0.0,,1.0,1.0,1.0,,,,34.755114,-91.894132,5085
"AR, Madison",,0.0,0.0,,,0.0,,,,,,1.0,0.0,,,,,0.0,,,36.012545,-93.724053,5087
"AR, Marion",,0.0,0.0,,0.0,0.0,,1.0,,,,,,,,,1.0,,,,36.266656,-92.678588,5089
"AR, Miller",,0.0,3.0,0.0,0.0,,1.0,,1.0,,,5.0,,1.0,,2.0,,1.0,,,33.305505,-93.901509,5091
"AR, Mississippi",,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,35.766943,-90.052209,5093
"AR, Monroe",,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,34.679513,-91.203314,5095
"AR, Montgomery",,0.0,,,0.0,,,,,,,,,,,,,,,,34.545652,-93.664147,5097
"AR, Nevada",,0.0,,1.0,,1.0,,,,,,,,,,,,,,,33.666699,-93.305072,5099
"AR, Newton",,,0.0,,,,,,,,,,,,,,,,,0.0,35.910063,-93.215084,5101
"AR, Ouachita",,0.0,0.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,33.591158,-92.878418,5103
"AR, Perry",,0.0,,,,0.0,,,,,,,,,,0.0,,,,,34.946363,-92.926877,5105
"AR, Phillips",,0.0,0.0,1.0,,1.0,,,,,,1.0,,,,,,,,,34.425842,-90.848386,5107
"AR, Pike",,0.0,,0.0,,,,,,,,,,,,,,,,,34.158191,-93.658659,5109
"AR, Poinsett",,0.0,0.0,0.0,,,,,,,,,,,,,,,,,35.568981,-90.680595,5111
"AR, Polk",,0.0,,0.0,,0.0,,,,,,,,,,0.0,,,,,34.490915,-94.230884,5113
"AR, Pope",,0.0,2.0,1.0,0.0,0.0,,,,,,1.0,,,,,,,,,35.455297,-93.031535,5115
"AR, Prairie",,0.0,,,,0.0,,,,,,,,,,,,,,,34.828225,-91.5572,5117
"AR, Pulaski",,8.0,3.0,6.0,3.0,8.0,3.0,1.0,,,,14.0,2.0,1.0,,,3.0,,2.0,,34.773988,-92.316515,5119
"AR, Randolph",,0.0,0.0,0.0,,0.0,,,,,,1.0,,,,,,,,,36.341299,-91.028441,5121
"AR, Saline",0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,3.0,1.0,,,0.0,2.0,,1.0,1.0,34.648525,-92.674463,5125
"AR, Scott",,0.0,0.0,1.0,,0.0,1.0,,,,,,1.0,,,,,,,,34.858869,-94.063641,5127
"AR, Searcy",,,,,,1.0,,,,,,0.0,,,,,,,,,35.90966,-92.699351,5129
"AR, Sebastian",0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,,,2.0,2.0,2.0,1.0,,1.0,2.0,,,35.196981,-94.274989,5131
"AR, Sevier",,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,33.994608,-94.24329,5133
"AR, Sharp",,0.0,,,0.0,0.0,,,,,,,,1.0,,,1.0,,,,36.173399,-91.471069,5135
"AR, St Francis",,0.0,,0.0,,0.0,0.0,,,,,1.0,,,,,,,,,35.014438,-90.742199,5123
"AR, Stone",,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,35.856989,-92.140494,5137
"AR, Union",0.0,7.0,1.0,2.0,5.0,0.0,1.0,1.0,,,,6.0,1.0,,1.0,0.0,1.0,1.0,1.0,,33.168219,-92.598145,5139
"AR, Van Buren",,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,35.582959,-92.515977,5141
"AR, Washington",,1.0,0.0,0.0,0.0,1.0,2.0,,,,,3.0,1.0,,1.0,,,1.0,1.0,,35.971209,-94.218417,5143
"AR, White",,0.0,,0.0,,0.0,0.0,,,,,,0.0,1.0,1.0,1.0,2.0,0.0,,,35.254722,-91.753158,5145
"AR, Woodruff",,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,35.189071,-91.244418,5147
"AR, Yell",,0.0,,,,1.0,,,,,,,0.0,,,,,,,,34.997713,-93.408303,5149
"AZ, Apache",,,0.0,5.0,1.0,1.0,1.0,,,1.0,1.0,0.0,1.0,0.0,1.0,,,,1.0,,35.385845,-109.493747,4001
"AZ, Cochise",,,0.0,1.0,1.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,,0.0,0.0,,0.0,2.0,31.881793,-109.75412,4003
"AZ, Coconino",,,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,,,1.0,2.0,0.0,,,0.0,,35.829692,-111.773728,4005
"AZ, Gila",,,2.0,1.0,0.0,1.0,1.0,2.0,0.0,9.0,,,1.0,0.0,1.0,,,,1.0,,33.789618,-110.81187,4007
"AZ, Graham",,,2.0,4.0,2.0,0.0,3.0,5.0,,9.0,0.0,,,,,0.0,1.0,,,,32.931828,-109.87831,4009
"AZ, Greenlee",,,,,,0.0,,0.0,,,,,1.0,,,,,,,,33.238872,-109.242323,4011
"AZ, La Paz",,,0.0,0.0,1.0,0.0,0.0,,,,0.0,2.0,1.0,0.0,1.0,0.0,,,,1.0,33.727625,-114.038793,4012
"AZ, Maricopa",,,7.0,357.0,80.0,77.0,68.0,91.0,19.0,116.0,45.0,88.0,52.0,94.0,62.0,63.0,93.0,24.0,155.0,4.0,33.346541,-112.495534,4013
"AZ, Mohave",,,,5.0,3.0,2.0,1.0,,,0.0,0.0,1.0,,1.0,1.0,,1.0,,0.0,0.0,35.717705,-113.749689,4015
"AZ, Navajo",,,0.0,1.0,0.0,,0.0,,,1.0,1.0,,1.0,,,,1.0,,4.0,,35.390934,-110.320908,4017
"AZ, Pima",,,2.0,7.0,16.0,47.0,15.0,13.0,0.0,12.0,19.0,33.0,2.0,5.0,29.0,4.0,5.0,0.0,10.0,2.0,32.128237,-111.783018,4019
"AZ, Pinal",,,0.0,8.0,7.0,18.0,6.0,3.0,0.0,15.0,1.0,8.0,2.0,5.0,5.0,7.0,10.0,2.0,3.0,1.0,32.91891,-111.367257,4021
"AZ, Santa Cruz",,,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,,,1.0,,,,,31.525904,-110.84519,4023
"AZ, Yavapai",,,0.0,1.0,1.0,,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,1.0,34.630044,-112.573745,4025
"AZ, Yuma",,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,32.773942,-113.910905,4027
"CA, Alameda",,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,37.648081,-121.913304,6001
"CA, Alpine",,,,0.0,,,,,,,,,,,,,,,,0.0,38.61761,-119.798999,6003
"CA, Amador",,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,,1.0,1.0,0.0,38.44355,-120.653856,6005
"CA, Butte",,,,7.0,24.0,31.0,16.0,6.0,2.0,1.0,3.0,10.0,24.0,24.0,53.0,21.0,4.0,12.0,5.0,4.0,39.665959,-121.601919,6007
"CA, Calaveras",,,,0.0,2.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,38.187844,-120.555115,6009
"CA, Colusa",,,,0.0,2.0,4.0,2.0,1.0,0.0,0.0,,3.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,,39.177739,-122.237563,6011
"CA, Contra Costa",,,,0.0,11.0,8.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,1.0,4.0,37.919479,-121.951543,6013
"CA, Del Norte",,,,0.0,,,,0.0,,,,,,,,,,,,,41.749903,-123.980998,6015
"CA, El Dorado",,,,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.785532,-120.534398,6017
"CA, Fresno",,,,11.0,59.0,11.0,17.0,3.0,13.0,23.0,9.0,24.0,8.0,43.0,8.0,14.0,13.0,14.0,51.0,10.0,36.761006,-119.655019,6019
"CA, Glenn",,,,3.0,13.0,12.0,7.0,1.0,0.0,2.0,1.0,7.0,9.0,10.0,19.0,6.0,0.0,2.0,0.0,1.0,39.602546,-122.4017,6021
"CA, Humboldt",,,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,1.0,,,40.706673,-123.925818,6023
"CA, Imperial",,,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,33.040816,-115.355395,6025
"CA, Inyo",,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,4.0,,,,36.561977,-117.403927,6027
"CA, Kern",,,,59.0,67.0,49.0,140.0,2.0,18.0,15.0,18.0,25.0,26.0,11.0,11.0,17.0,30.0,13.0,28.0,8.0,35.346629,-118.729506,6029
"CA, Kings",,,,0.0,32.0,1.0,7.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,0.0,8.0,5.0,0.0,3.0,2.0,36.072478,-119.81553,6031
"CA, Lake",,,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,39.094802,-122.746757,6033
"CA, Lassen",,,,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,,,,40.721089,-120.629931,6035
"CA, Los Angeles",,1.0,1.0,306.0,40.0,13.0,36.0,156.0,20.0,4.0,58.0,163.0,150.0,253.0,286.0,151.0,277.0,43.0,31.0,90.0,34.196398,-118.261862,6037
"CA, Madera",,,,0.0,18.0,0.0,2.0,0.0,1.0,7.0,2.0,3.0,3.0,3.0,4.0,6.0,2.0,4.0,3.0,6.0,37.210039,-119.749852,6039
"CA, Marin",,,,0.0,0.0,1.0,0.0,0.0,,,,0.0,2.0,0.0,1.0,0.0,0.0,,,0.0,38.051817,-122.745974,6041
"CA, Mariposa",,,,0.0,0.0,0.0,,,,,,,,,,,,,,,37.570034,-119.91286,6043
"CA, Mendocino",,,,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,1.0,2.0,,,,,,39.432388,-123.442881,6045
"CA, Merced",,,,1.0,25.0,4.0,4.0,1.0,4.0,1.0,1.0,13.0,0.0,1.0,1.0,0.0,10.0,2.0,10.0,12.0,37.194806,-120.722802,6047
"CA, Modoc",,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,41.592919,-120.71837,6049
"CA, Mono",,,,0.0,0.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,37.915836,-118.875167,6051
"CA, Monterey",,,,0.0,0.0,0.0,,0.0,1.0,,,1.0,,,,1.0,0.0,1.0,,,36.240107,-121.315573,6053
"CA, Napa",,,,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,,1.0,,0.0,38.507351,-122.325995,6055
"CA, Nevada",,,,0.0,4.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,0.0,39.295191,-120.773446,6057
"CA, Orange",,,0.0,62.0,17.0,6.0,9.0,71.0,4.0,1.0,10.0,42.0,11.0,263.0,92.0,32.0,33.0,9.0,5.0,17.0,33.675687,-117.777207,6059
"CA, Placer",,,,1.0,35.0,8.0,4.0,6.0,0.0,3.0,1.0,12.0,5.0,7.0,0.0,7.0,0.0,9.0,1.0,2.0,39.062032,-120.722718,6061
"CA, Plumas",,,,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,39.99517,-120.829516,6063
"CA, Riverside",,,1.0,109.0,103.0,4.0,17.0,62.0,3.0,0.0,7.0,19.0,36.0,14.0,127.0,11.0,32.0,15.0,12.0,10.0,33.729828,-116.002239,6065
"CA, Sacramento",,,,3.0,163.0,15.0,25.0,13.0,0.0,12.0,4.0,29.0,11.0,10.0,4.0,25.0,6.0,15.0,4.0,7.0,38.450011,-121.340441,6067
"CA, San Benito",,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,36.610702,-121.085296,6069
"CA, San Bernardino",,,0.0,187.0,33.0,3.0,4.0,36.0,2.0,5.0,4.0,33.0,13.0,21.0,54.0,8.0,57.0,9.0,7.0,3.0,34.85722,-116.181197,6071
"CA, San Diego",,,0.0,2.0,1.0,1.0,15.0,35.0,4.0,0.0,0.0,1.0,0.0,11.0,42.0,20.0,2.0,2.0,3.0,1.0,33.023604,-116.776117,6073
"CA, San Francisco",,,,0.0,2.0,0.0,0.0,,0.0,1.0,,1.0,1.0,0.0,,0.0,1.0,,,,37.727239,-123.032229,6075
"CA, San Joaquin",,,,2.0,34.0,8.0,10.0,12.0,10.0,6.0,5.0,13.0,9.0,9.0,2.0,13.0,14.0,14.0,7.0,2.0,37.935034,-121.272237,6077
"CA, San Luis Obispo",,,,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2.0,,35.385227,-120.44754,6079
"CA, San Mateo",,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,37.414664,-122.371542,6081
"CA, Santa Barbara",,,,0.0,2.0,0.0,0.0,1.0,0.0,,1.0,,1.0,0.0,0.0,,0.0,,,0.0,34.537378,-120.038485,6083
"CA, Santa Clara",,,,1.0,5.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,8.0,1.0,0.0,1.0,1.0,0.0,37.220777,-121.690622,6085
"CA, Santa Cruz",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,37.012488,-122.007205,6087
"CA, Shasta",,,,5.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,40.760522,-122.04355,6089
"CA, Sierra",,,,0.0,,,,,,,,,,,,,,,,,39.576925,-120.521993,6091
"CA, Siskiyou",,,,0.0,0.0,0.0,0.0,,,,,,,,1.0,,,,,,41.587986,-122.533287,6093
"CA, Solano",,,,0.0,5.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,4.0,1.0,0.0,1.0,1.0,38.267226,-121.939594,6095
"CA, Sonoma",,,,0.0,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,38.532574,-122.945194,6097
"CA, Stanislaus",,,,0.0,84.0,11.0,21.0,17.0,14.0,12.0,11.0,26.0,16.0,33.0,13.0,26.0,28.0,15.0,16.0,35.0,37.562384,-121.002656,6099
