County,State,State Abbreviation,Precipitation (in),Year
Jefferson County,Texas,TX,18.51,2005
Jim Hogg County,Texas,TX,6.36,2005
Jim Wells County,Texas,TX,7.51,2005
Johnson County,Texas,TX,5.46,2005
Jones County,Texas,TX,8.70,2005
Karnes County,Texas,TX,5.71,2005
Kaufman County,Texas,TX,6.80,2005
Kendall County,Texas,TX,6.22,2005
Kenedy County,Texas,TX,8.06,2005
Kent County,Texas,TX,9.78,2005
Kerr County,Texas,TX,8.05,2005
Kimble County,Texas,TX,6.90,2005
King County,Texas,TX,11.22,2005
Kinney County,Texas,TX,6.37,2005
Kleberg County,Texas,TX,7.77,2005
Knox County,Texas,TX,13.62,2005
Lamar County,Texas,TX,8.98,2005
Lamb County,Texas,TX,8.49,2005
Lampasas County,Texas,TX,7.95,2005
La Salle County,Texas,TX,3.86,2005
Lavaca County,Texas,TX,8.40,2005
Lee County,Texas,TX,9.36,2005
Leon County,Texas,TX,8.67,2005
Liberty County,Texas,TX,14.55,2005
Limestone County,Texas,TX,8.48,2005
Lipscomb County,Texas,TX,7.43,2005
Live Oak County,Texas,TX,6.73,2005
Llano County,Texas,TX,4.61,2005
Loving County,Texas,TX,7.27,2005
Lubbock County,Texas,TX,6.08,2005
Lynn County,Texas,TX,6.36,2005
McCulloch County,Texas,TX,7.86,2005
McLennan County,Texas,TX,9.44,2005
McMullen County,Texas,TX,4.48,2005
Madison County,Texas,TX,9.81,2005
Marion County,Texas,TX,11.71,2005
Martin County,Texas,TX,6.41,2005
Mason County,Texas,TX,4.96,2005
Matagorda County,Texas,TX,9.03,2005
Maverick County,Texas,TX,2.98,2005
Medina County,Texas,TX,5.99,2005
Menard County,Texas,TX,8.25,2005
Midland County,Texas,TX,4.83,2005
Milam County,Texas,TX,9.40,2005
Mills County,Texas,TX,8.35,2005
Mitchell County,Texas,TX,10.18,2005
Montague County,Texas,TX,9.28,2005
Montgomery County,Texas,TX,10.97,2005
Moore County,Texas,TX,5.24,2005
Morris County,Texas,TX,9.85,2005
Motley County,Texas,TX,7.62,2005
Nacogdoches County,Texas,TX,12.64,2005
Navarro County,Texas,TX,7.90,2005
Newton County,Texas,TX,16.19,2005
Nolan County,Texas,TX,9.89,2005
Nueces County,Texas,TX,7.04,2005
Ochiltree County,Texas,TX,6.19,2005
Oldham County,Texas,TX,6.91,2005
Orange County,Texas,TX,19.68,2005
Palo Pinto County,Texas,TX,7.26,2005
Panola County,Texas,TX,13.97,2005
Parker County,Texas,TX,4.76,2005
Parmer County,Texas,TX,8.64,2005
Pecos County,Texas,TX,7.18,2005
Polk County,Texas,TX,14.39,2005
Potter County,Texas,TX,5.26,2005
Presidio County,Texas,TX,6.96,2005
Rains County,Texas,TX,5.43,2005
Randall County,Texas,TX,5.36,2005
Reagan County,Texas,TX,11.23,2005
Real County,Texas,TX,7.19,2005
Red River County,Texas,TX,9.70,2005
Reeves County,Texas,TX,5.53,2005
Refugio County,Texas,TX,8.01,2005
Roberts County,Texas,TX,6.69,2005
Robertson County,Texas,TX,7.32,2005
Rockwall County,Texas,TX,5.45,2005
Runnels County,Texas,TX,9.99,2005
Rusk County,Texas,TX,14.11,2005
Sabine County,Texas,TX,14.76,2005
San Augustine County,Texas,TX,15.06,2005
San Jacinto County,Texas,TX,12.39,2005
San Patricio County,Texas,TX,6.90,2005
San Saba County,Texas,TX,6.04,2005
Schleicher County,Texas,TX,8.94,2005
Scurry County,Texas,TX,10.89,2005
Shackelford County,Texas,TX,10.02,2005
Shelby County,Texas,TX,14.24,2005
Sherman County,Texas,TX,4.81,2005
Smith County,Texas,TX,9.17,2005
Somervell County,Texas,TX,6.60,2005
Starr County,Texas,TX,6.50,2005
Stephens County,Texas,TX,10.50,2005
Sterling County,Texas,TX,12.04,2005
Stonewall County,Texas,TX,11.15,2005
Sutton County,Texas,TX,7.73,2005
Swisher County,Texas,TX,7.09,2005
Tarrant County,Texas,TX,4.47,2005
Taylor County,Texas,TX,9.46,2005
Terrell County,Texas,TX,3.33,2005
Terry County,Texas,TX,6.12,2005
Throckmorton County,Texas,TX,11.65,2005
Titus County,Texas,TX,8.89,2005
Tom Green County,Texas,TX,8.33,2005
Travis County,Texas,TX,7.21,2005
Trinity County,Texas,TX,11.58,2005
Tyler County,Texas,TX,16.18,2005
Upshur County,Texas,TX,9.50,2005
Upton County,Texas,TX,5.98,2005
Uvalde County,Texas,TX,5.45,2005
Val Verde County,Texas,TX,4.86,2005
Van Zandt County,Texas,TX,7.58,2005
Victoria County,Texas,TX,6.88,2005
Walker County,Texas,TX,10.93,2005
Waller County,Texas,TX,8.16,2005
Ward County,Texas,TX,6.39,2005
Washington County,Texas,TX,8.33,2005
Webb County,Texas,TX,4.53,2005
Wharton County,Texas,TX,8.87,2005
Wheeler County,Texas,TX,7.65,2005
Wichita County,Texas,TX,13.36,2005
Wilbarger County,Texas,TX,11.40,2005
Willacy County,Texas,TX,7.91,2005
Williamson County,Texas,TX,10.07,2005
Wilson County,Texas,TX,3.86,2005
Winkler County,Texas,TX,6.86,2005
Wise County,Texas,TX,5.28,2005
Wood County,Texas,TX,7.70,2005
Yoakum County,Texas,TX,7.01,2005
Young County,Texas,TX,11.30,2005
Zapata County,Texas,TX,5.49,2005
Zavala County,Texas,TX,2.79,2005
Beaver County,Utah,UT,2.82,2005
Box Elder County,Utah,UT,1.42,2005
Cache County,Utah,UT,1.50,2005
Carbon County,Utah,UT,3.86,2005
Daggett County,Utah,UT,3.32,2005
Davis County,Utah,UT,1.48,2005
Duchesne County,Utah,UT,3.42,2005
Emery County,Utah,UT,2.62,2005
Garfield County,Utah,UT,3.75,2005
Grand County,Utah,UT,3.59,2005
Iron County,Utah,UT,3.72,2005
Juab County,Utah,UT,1.55,2005
Kane County,Utah,UT,2.98,2005
Millard County,Utah,UT,1.59,2005
Morgan County,Utah,UT,1.82,2005
Piute County,Utah,UT,3.11,2005
Rich County,Utah,UT,1.46,2005
Salt Lake County,Utah,UT,1.49,2005
San Juan County,Utah,UT,3.66,2005
Sanpete County,Utah,UT,3.15,2005
Sevier County,Utah,UT,3.10,2005
Summit County,Utah,UT,2.90,2005
Tooele County,Utah,UT,1.03,2005
Uintah County,Utah,UT,3.14,2005
Utah County,Utah,UT,1.94,2005
Wasatch County,Utah,UT,2.57,2005
Washington County,Utah,UT,3.56,2005
Wayne County,Utah,UT,2.71,2005
Weber County,Utah,UT,1.73,2005
Addison County,Vermont,VT,11.52,2005
Bennington County,Vermont,VT,11.77,2005
Caledonia County,Vermont,VT,13.51,2005
Chittenden County,Vermont,VT,13.04,2005
Essex County,Vermont,VT,14.44,2005
Franklin County,Vermont,VT,13.79,2005
Grand Isle County,Vermont,VT,12.76,2005
Lamoille County,Vermont,VT,14.10,2005
Orange County,Vermont,VT,11.29,2005
Orleans County,Vermont,VT,13.60,2005
Rutland County,Vermont,VT,11.69,2005
Washington County,Vermont,VT,12.71,2005
Windham County,Vermont,VT,9.72,2005
Windsor County,Vermont,VT,9.84,2005
Accomack County,Virginia,VA,9.45,2005
Albemarle County,Virginia,VA,9.54,2005
Alleghany County,Virginia,VA,11.33,2005
Amelia County,Virginia,VA,9.35,2005
Amherst County,Virginia,VA,9.72,2005
Appomattox County,Virginia,VA,8.53,2005
Arlington County,Virginia,VA,9.18,2005
Augusta County,Virginia,VA,9.90,2005
Bath County,Virginia,VA,11.15,2005
Bedford County,Virginia,VA,8.95,2005
Bland County,Virginia,VA,9.28,2005
Botetourt County,Virginia,VA,10.06,2005
Brunswick County,Virginia,VA,7.37,2005
Buchanan County,Virginia,VA,11.40,2005
Buckingham County,Virginia,VA,8.92,2005
Campbell County,Virginia,VA,7.55,2005
Caroline County,Virginia,VA,8.86,2005
Carroll County,Virginia,VA,10.29,2005
Charles City County,Virginia,VA,11.00,2005
Charlotte County,Virginia,VA,8.48,2005
Chesterfield County,Virginia,VA,9.47,2005
Clarke County,Virginia,VA,9.64,2005
Craig County,Virginia,VA,9.82,2005
Culpeper County,Virginia,VA,9.43,2005
Cumberland County,Virginia,VA,9.52,2005
Dickenson County,Virginia,VA,10.45,2005
Dinwiddie County,Virginia,VA,9.29,2005
Essex County,Virginia,VA,9.71,2005
Fairfax County,Virginia,VA,9.31,2005
Fauquier County,Virginia,VA,9.61,2005
Floyd County,Virginia,VA,9.55,2005
Fluvanna County,Virginia,VA,8.89,2005
Franklin County,Virginia,VA,10.04,2005
Frederick County,Virginia,VA,8.60,2005
Giles County,Virginia,VA,9.69,2005
Gloucester County,Virginia,VA,11.65,2005
Goochland County,Virginia,VA,8.32,2005
Grayson County,Virginia,VA,9.63,2005
Greene County,Virginia,VA,10.07,2005
Greensville County,Virginia,VA,7.76,2005
Halifax County,Virginia,VA,7.27,2005
Hanover County,Virginia,VA,8.21,2005
Henrico County,Virginia,VA,9.23,2005
Henry County,Virginia,VA,11.69,2005
Highland County,Virginia,VA,11.94,2005
Isle of Wight County,Virginia,VA,12.76,2005
James City County,Virginia,VA,11.90,2005
King and Queen County,Virginia,VA,10.66,2005
King George County,Virginia,VA,8.57,2005
King William County,Virginia,VA,9.89,2005
Lancaster County,Virginia,VA,11.27,2005
Lee County,Virginia,VA,10.82,2005
Loudoun County,Virginia,VA,9.88,2005
Louisa County,Virginia,VA,9.28,2005
Lunenburg County,Virginia,VA,8.45,2005
Madison County,Virginia,VA,9.64,2005
Mathews County,Virginia,VA,11.46,2005
Mecklenburg County,Virginia,VA,6.50,2005
Middlesex County,Virginia,VA,11.47,2005
Montgomery County,Virginia,VA,9.02,2005
Nelson County,Virginia,VA,10.38,2005
New Kent County,Virginia,VA,11.11,2005
Northampton County,Virginia,VA,11.26,2005
Northumberland County,Virginia,VA,10.97,2005
Nottoway County,Virginia,VA,9.63,2005
Orange County,Virginia,VA,9.62,2005
Page County,Virginia,VA,10.09,2005
Patrick County,Virginia,VA,12.66,2005
Pittsylvania County,Virginia,VA,9.30,2005
Powhatan County,Virginia,VA,8.32,2005
Prince Edward County,Virginia,VA,9.76,2005
Prince George County,Virginia,VA,10.39,2005
Prince William County,Virginia,VA,8.41,2005
Pulaski County,Virginia,VA,8.05,2005
Rappahannock County,Virginia,VA,9.57,2005
Richmond County,Virginia,VA,9.95,2005
Roanoke County,Virginia,VA,10.10,2005
Rockbridge County,Virginia,VA,10.69,2005
Rockingham County,Virginia,VA,9.30,2005
Russell County,Virginia,VA,9.04,2005
Scott County,Virginia,VA,11.79,2005
Shenandoah County,Virginia,VA,9.85,2005
Smyth County,Virginia,VA,8.74,2005
Southampton County,Virginia,VA,10.26,2005
Spotsylvania County,Virginia,VA,10.10,2005
Stafford County,Virginia,VA,8.67,2005
Surry County,Virginia,VA,12.24,2005
Sussex County,Virginia,VA,10.11,2005
Tazewell County,Virginia,VA,9.59,2005
Warren County,Virginia,VA,9.81,2005
Washington County,Virginia,VA,8.61,2005
Westmoreland County,Virginia,VA,9.55,2005
Wise County,Virginia,VA,11.06,2005
Wythe County,Virginia,VA,8.30,2005
York County,Virginia,VA,11.52,2005
Alexandria City,Virginia,VA,8.85,2005
Bristol City,Virginia,VA,8.75,2005
Buena Vista City,Virginia,VA,9.09,2005
Charlottesville City,Virginia,VA,9.44,2005
Chesapeake City,Virginia,VA,12.56,2005
Colonial Heights City,Virginia,VA,9.94,2005
Covington City,Virginia,VA,11.72,2005
Danville City,Virginia,VA,8.99,2005
Emporia City,Virginia,VA,7.47,2005
Fairfax City,Virginia,VA,9.49,2005
Falls Church City,Virginia,VA,9.37,2005
Franklin City,Virginia,VA,11.16,2005
Fredericksburg City,Virginia,VA,10.04,2005
Galax City,Virginia,VA,10.06,2005
Hampton City,Virginia,VA,11.03,2005
Harrisonburg City,Virginia,VA,8.18,2005
Hopewell City,Virginia,VA,9.95,2005
Lynchburg City,Virginia,VA,8.04,2005
Manassas City,Virginia,VA,9.37,2005
Manassas Park City,Virginia,VA,9.51,2005
Martinsville City,Virginia,VA,12.13,2005
Newport News City,Virginia,VA,11.61,2005
Norfolk City,Virginia,VA,11.39,2005
Norton City,Virginia,VA,11.08,2005
Petersburg City,Virginia,VA,9.84,2005
Poquoson City,Virginia,VA,10.91,2005
Portsmouth City,Virginia,VA,11.94,2005
Radford City,Virginia,VA,8.35,2005
Richmond City,Virginia,VA,9.10,2005
Roanoke City,Virginia,VA,9.78,2005
Salem City,Virginia,VA,9.81,2005
Staunton City,Virginia,VA,8.99,2005
Suffolk City,Virginia,VA,12.81,2005
Virginia Beach City,Virginia,VA,11.98,2005
Waynesboro City,Virginia,VA,8.80,2005
Williamsburg City,Virginia,VA,11.87,2005
Winchester City,Virginia,VA,9.33,2005
Adams County,Washington,WA,1.07,2005
Asotin County,Washington,WA,0.91,2005
Benton County,Washington,WA,0.48,2005
Chelan County,Washington,WA,2.58,2005
Clallam County,Washington,WA,6.70,2005
Clark County,Washington,WA,3.57,2005
Columbia County,Washington,WA,1.14,2005
Cowlitz County,Washington,WA,4.05,2005
Douglas County,Washington,WA,0.50,2005
Ferry County,Washington,WA,1.82,2005
Franklin County,Washington,WA,1.08,2005
Garfield County,Washington,WA,1.17,2005
Grant County,Washington,WA,0.61,2005
Grays Harbor County,Washington,WA,7.08,2005
Island County,Washington,WA,3.09,2005
Jefferson County,Washington,WA,8.06,2005
King County,Washington,WA,7.24,2005
Kitsap County,Washington,WA,2.66,2005
Kittitas County,Washington,WA,2.27,2005
Klickitat County,Washington,WA,0.73,2005
Lewis County,Washington,WA,4.32,2005
Lincoln County,Washington,WA,1.06,2005
Mason County,Washington,WA,5.38,2005
Okanogan County,Washington,WA,1.53,2005
Pacific County,Washington,WA,5.20,2005
Pend Oreille County,Washington,WA,4.01,2005
Pierce County,Washington,WA,5.74,2005
San Juan County,Washington,WA,3.33,2005
Skagit County,Washington,WA,7.40,2005
Skamania County,Washington,WA,3.85,2005
Snohomish County,Washington,WA,7.09,2005
Spokane County,Washington,WA,2.33,2005
Stevens County,Washington,WA,2.46,2005
Thurston County,Washington,WA,3.01,2005
Wahkiakum County,Washington,WA,4.59,2005
Walla Walla County,Washington,WA,0.76,2005
Whatcom County,Washington,WA,7.35,2005
Whitman County,Washington,WA,1.37,2005
Yakima County,Washington,WA,1.35,2005
Barbour County,West Virginia,WV,9.44,2005
Berkeley County,West Virginia,WV,7.39,2005
Boone County,West Virginia,WV,13.41,2005
Braxton County,West Virginia,WV,12.28,2005
Brooke County,West Virginia,WV,9.44,2005
Cabell County,West Virginia,WV,11.70,2005
Calhoun County,West Virginia,WV,12.25,2005
Clay County,West Virginia,WV,10.68,2005
Doddridge County,West Virginia,WV,11.40,2005
Fayette County,West Virginia,WV,12.88,2005
Gilmer County,West Virginia,WV,12.99,2005
Grant County,West Virginia,WV,9.00,2005
Greenbrier County,West Virginia,WV,10.71,2005
Hampshire County,West Virginia,WV,7.58,2005
Hancock County,West Virginia,WV,11.88,2005
Hardy County,West Virginia,WV,9.14,2005
Harrison County,West Virginia,WV,9.97,2005
Jackson County,West Virginia,WV,11.30,2005
Jefferson County,West Virginia,WV,8.42,2005
Kanawha County,West Virginia,WV,12.21,2005
Lewis County,West Virginia,WV,11.08,2005
Lincoln County,West Virginia,WV,12.95,2005
Logan County,West Virginia,WV,13.76,2005
McDowell County,West Virginia,WV,12.87,2005
Marion County,West Virginia,WV,8.23,2005
Marshall County,West Virginia,WV,9.21,2005
Mason County,West Virginia,WV,8.77,2005
Mercer County,West Virginia,WV,10.73,2005
Mineral County,West Virginia,WV,8.05,2005
Mingo County,West Virginia,WV,14.18,2005
Monongalia County,West Virginia,WV,7.94,2005
Monroe County,West Virginia,WV,10.01,2005
Morgan County,West Virginia,WV,7.03,2005
Nicholas County,West Virginia,WV,12.84,2005
Ohio County,West Virginia,WV,8.38,2005
Pendleton County,West Virginia,WV,11.14,2005
Pleasants County,West Virginia,WV,9.45,2005
Pocahontas County,West Virginia,WV,11.33,2005
Preston County,West Virginia,WV,10.16,2005
Putnam County,West Virginia,WV,10.48,2005
Raleigh County,West Virginia,WV,12.20,2005
Randolph County,West Virginia,WV,12.41,2005
Ritchie County,West Virginia,WV,10.95,2005
Roane County,West Virginia,WV,12.68,2005
Summers County,West Virginia,WV,11.01,2005
Taylor County,West Virginia,WV,8.81,2005
Tucker County,West Virginia,WV,10.30,2005
Tyler County,West Virginia,WV,9.58,2005
Upshur County,West Virginia,WV,10.89,2005
Wayne County,West Virginia,WV,12.31,2005
Webster County,West Virginia,WV,14.21,2005
Wetzel County,West Virginia,WV,8.48,2005
Wirt County,West Virginia,WV,11.97,2005
Wood County,West Virginia,WV,10.61,2005
Wyoming County,West Virginia,WV,13.52,2005
Adams County,Wisconsin,WI,10.66,2005
Ashland County,Wisconsin,WI,9.85,2005
Barron County,Wisconsin,WI,6.68,2005
Bayfield County,Wisconsin,WI,8.26,2005
Brown County,Wisconsin,WI,9.72,2005
Buffalo County,Wisconsin,WI,13.27,2005
Burnett County,Wisconsin,WI,8.76,2005
Calumet County,Wisconsin,WI,9.87,2005
Chippewa County,Wisconsin,WI,8.53,2005
Clark County,Wisconsin,WI,10.20,2005
Columbia County,Wisconsin,WI,9.88,2005
Crawford County,Wisconsin,WI,13.09,2005
Dane County,Wisconsin,WI,8.10,2005
Dodge County,Wisconsin,WI,10.13,2005
Door County,Wisconsin,WI,9.71,2005
Douglas County,Wisconsin,WI,7.93,2005
Dunn County,Wisconsin,WI,9.61,2005
Eau Claire County,Wisconsin,WI,9.66,2005
Florence County,Wisconsin,WI,9.59,2005
Fond du Lac County,Wisconsin,WI,9.37,2005
Forest County,Wisconsin,WI,9.63,2005
Grant County,Wisconsin,WI,12.38,2005
Green County,Wisconsin,WI,8.47,2005
Green Lake County,Wisconsin,WI,9.48,2005
Iowa County,Wisconsin,WI,9.40,2005
Iron County,Wisconsin,WI,9.96,2005
Jackson County,Wisconsin,WI,14.36,2005
Jefferson County,Wisconsin,WI,9.50,2005
Juneau County,Wisconsin,WI,10.46,2005
Kenosha County,Wisconsin,WI,7.94,2005
Kewaunee County,Wisconsin,WI,10.14,2005
La Crosse County,Wisconsin,WI,14.84,2005
Lafayette County,Wisconsin,WI,10.10,2005
Langlade County,Wisconsin,WI,9.00,2005
Lincoln County,Wisconsin,WI,7.54,2005
Manitowoc County,Wisconsin,WI,8.91,2005
Marathon County,Wisconsin,WI,9.46,2005
Marinette County,Wisconsin,WI,8.35,2005
Marquette County,Wisconsin,WI,10.10,2005
Menominee County,Wisconsin,WI,8.28,2005
Milwaukee County,Wisconsin,WI,8.36,2005
Monroe County,Wisconsin,WI,11.86,2005
Oconto County,Wisconsin,WI,8.78,2005
Oneida County,Wisconsin,WI,7.78,2005
Outagamie County,Wisconsin,WI,10.41,2005
Ozaukee County,Wisconsin,WI,9.24,2005
Pepin County,Wisconsin,WI,12.24,2005
Pierce County,Wisconsin,WI,12.97,2005
Polk County,Wisconsin,WI,8.75,2005
Portage County,Wisconsin,WI,11.08,2005
Price County,Wisconsin,WI,7.38,2005
Racine County,Wisconsin,WI,7.30,2005
Richland County,Wisconsin,WI,10.66,2005
Rock County,Wisconsin,WI,10.13,2005
Rusk County,Wisconsin,WI,6.91,2005
St. Croix County,Wisconsin,WI,12.18,2005
Sauk County,Wisconsin,WI,10.28,2005
Sawyer County,Wisconsin,WI,6.40,2005
Shawano County,Wisconsin,WI,9.04,2005
Sheboygan County,Wisconsin,WI,8.08,2005
Taylor County,Wisconsin,WI,8.14,2005
Trempealeau County,Wisconsin,WI,14.40,2005
Vernon County,Wisconsin,WI,10.98,2005
Vilas County,Wisconsin,WI,8.95,2005
Walworth County,Wisconsin,WI,8.82,2005
Washburn County,Wisconsin,WI,5.62,2005
Washington County,Wisconsin,WI,10.35,2005
Waukesha County,Wisconsin,WI,8.48,2005
Waupaca County,Wisconsin,WI,10.20,2005
Waushara County,Wisconsin,WI,10.46,2005
Winnebago County,Wisconsin,WI,10.03,2005
Wood County,Wisconsin,WI,11.47,2005
Albany County,Wyoming,WY,2.45,2005
Big Horn County,Wyoming,WY,2.59,2005
Campbell County,Wyoming,WY,3.09,2005
Carbon County,Wyoming,WY,1.76,2005
Converse County,Wyoming,WY,3.01,2005
Crook County,Wyoming,WY,3.56,2005
Fremont County,Wyoming,WY,2.22,2005
Goshen County,Wyoming,WY,5.35,2005
Hot Springs County,Wyoming,WY,2.33,2005
Johnson County,Wyoming,WY,2.95,2005
Laramie County,Wyoming,WY,3.61,2005
Lincoln County,Wyoming,WY,2.23,2005
Natrona County,Wyoming,WY,2.42,2005
Niobrara County,Wyoming,WY,4.45,2005
Park County,Wyoming,WY,4.54,2005
Platte County,Wyoming,WY,3.52,2005
Sheridan County,Wyoming,WY,3.15,2005
Sublette County,Wyoming,WY,2.62,2005
Sweetwater County,Wyoming,WY,1.98,2005
Teton County,Wyoming,WY,5.17,2005
Uinta County,Wyoming,WY,2.08,2005
Washakie County,Wyoming,WY,1.98,2005
Weston County,Wyoming,WY,4.40,2005
Autauga County,Alabama,AL,10.82,2006
Baldwin County,Alabama,AL,15.04,2006
Barbour County,Alabama,AL,9.69,2006
Bibb County,Alabama,AL,10.91,2006
Blount County,Alabama,AL,10.95,2006
Bullock County,Alabama,AL,9.55,2006
Butler County,Alabama,AL,10.37,2006
Calhoun County,Alabama,AL,9.95,2006
Chambers County,Alabama,AL,11.33,2006
Cherokee County,Alabama,AL,9.52,2006
Chilton County,Alabama,AL,11.60,2006
Choctaw County,Alabama,AL,10.64,2006
Clarke County,Alabama,AL,12.35,2006
Clay County,Alabama,AL,11.65,2006
Cleburne County,Alabama,AL,10.57,2006
Coffee County,Alabama,AL,10.02,2006
Colbert County,Alabama,AL,9.22,2006
Conecuh County,Alabama,AL,11.73,2006
Coosa County,Alabama,AL,10.84,2006
Covington County,Alabama,AL,12.30,2006
Crenshaw County,Alabama,AL,9.72,2006
Cullman County,Alabama,AL,11.81,2006
Dale County,Alabama,AL,9.37,2006
Dallas County,Alabama,AL,8.93,2006
DeKalb County,Alabama,AL,9.76,2006
Elmore County,Alabama,AL,11.10,2006
Escambia County,Alabama,AL,14.24,2006
Etowah County,Alabama,AL,8.40,2006
Fayette County,Alabama,AL,10.25,2006
Franklin County,Alabama,AL,10.55,2006
Geneva County,Alabama,AL,11.01,2006
Greene County,Alabama,AL,8.43,2006
Hale County,Alabama,AL,8.86,2006
Henry County,Alabama,AL,10.83,2006
Houston County,Alabama,AL,10.11,2006
Jackson County,Alabama,AL,10.96,2006
Jefferson County,Alabama,AL,9.92,2006
Lamar County,Alabama,AL,9.00,2006
Lauderdale County,Alabama,AL,9.08,2006
Lawrence County,Alabama,AL,10.59,2006
Lee County,Alabama,AL,11.84,2006
Limestone County,Alabama,AL,8.32,2006
Lowndes County,Alabama,AL,9.51,2006
Macon County,Alabama,AL,10.64,2006
Madison County,Alabama,AL,9.53,2006
Marengo County,Alabama,AL,9.56,2006
Marion County,Alabama,AL,10.84,2006
Marshall County,Alabama,AL,9.33,2006
Mobile County,Alabama,AL,14.39,2006
Monroe County,Alabama,AL,12.46,2006
Montgomery County,Alabama,AL,10.16,2006
Morgan County,Alabama,AL,9.57,2006
Perry County,Alabama,AL,7.90,2006
Pickens County,Alabama,AL,8.68,2006
Pike County,Alabama,AL,8.63,2006
Randolph County,Alabama,AL,13.06,2006
Russell County,Alabama,AL,12.24,2006
St. Clair County,Alabama,AL,10.74,2006
Shelby County,Alabama,AL,12.38,2006
Sumter County,Alabama,AL,7.46,2006
Talladega County,Alabama,AL,11.81,2006
Tallapoosa County,Alabama,AL,11.11,2006
Tuscaloosa County,Alabama,AL,10.10,2006
Walker County,Alabama,AL,11.90,2006
Washington County,Alabama,AL,12.75,2006
Wilcox County,Alabama,AL,10.07,2006
Winston County,Alabama,AL,13.12,2006
Apache County,Arizona,AZ,6.45,2006
Cochise County,Arizona,AZ,10.26,2006
Coconino County,Arizona,AZ,5.50,2006
Gila County,Arizona,AZ,8.10,2006
Graham County,Arizona,AZ,10.84,2006
Greenlee County,Arizona,AZ,13.26,2006
La Paz County,Arizona,AZ,2.24,2006
Maricopa County,Arizona,AZ,4.16,2006
Mohave County,Arizona,AZ,2.49,2006
Navajo County,Arizona,AZ,5.42,2006
Pima County,Arizona,AZ,7.61,2006
Pinal County,Arizona,AZ,6.85,2006
Santa Cruz County,Arizona,AZ,14.73,2006
Yavapai County,Arizona,AZ,6.40,2006
Yuma County,Arizona,AZ,1.57,2006
Arkansas County,Arkansas,AR,8.86,2006
Ashley County,Arkansas,AR,7.01,2006
Baxter County,Arkansas,AR,15.03,2006
Benton County,Arkansas,AR,13.26,2006
Boone County,Arkansas,AR,10.06,2006
Bradley County,Arkansas,AR,6.77,2006
Calhoun County,Arkansas,AR,7.81,2006
Carroll County,Arkansas,AR,10.62,2006
Chicot County,Arkansas,AR,6.90,2006
Clark County,Arkansas,AR,9.62,2006
Clay County,Arkansas,AR,22.07,2006
Cleburne County,Arkansas,AR,10.13,2006
Cleveland County,Arkansas,AR,8.30,2006
Columbia County,Arkansas,AR,9.27,2006
Conway County,Arkansas,AR,11.30,2006
Craighead County,Arkansas,AR,15.47,2006
Crawford County,Arkansas,AR,13.77,2006
Crittenden County,Arkansas,AR,9.96,2006
Cross County,Arkansas,AR,12.74,2006
Dallas County,Arkansas,AR,8.67,2006
Desha County,Arkansas,AR,6.97,2006
Drew County,Arkansas,AR,7.10,2006
Faulkner County,Arkansas,AR,9.52,2006
Franklin County,Arkansas,AR,12.39,2006
Fulton County,Arkansas,AR,16.53,2006
Garland County,Arkansas,AR,10.89,2006
Grant County,Arkansas,AR,10.49,2006
Greene County,Arkansas,AR,17.85,2006
Hempstead County,Arkansas,AR,8.24,2006
Hot Spring County,Arkansas,AR,10.67,2006
Howard County,Arkansas,AR,9.11,2006
Independence County,Arkansas,AR,11.05,2006
Izard County,Arkansas,AR,15.79,2006
Jackson County,Arkansas,AR,10.53,2006
Jefferson County,Arkansas,AR,9.57,2006
Johnson County,Arkansas,AR,10.54,2006
Lafayette County,Arkansas,AR,10.12,2006
Lawrence County,Arkansas,AR,14.67,2006
Lee County,Arkansas,AR,8.29,2006
Lincoln County,Arkansas,AR,8.32,2006
Little River County,Arkansas,AR,7.53,2006
Logan County,Arkansas,AR,10.88,2006
Lonoke County,Arkansas,AR,9.46,2006
Madison County,Arkansas,AR,13.27,2006
Marion County,Arkansas,AR,12.54,2006
Miller County,Arkansas,AR,8.06,2006
Mississippi County,Arkansas,AR,16.50,2006
Monroe County,Arkansas,AR,9.01,2006
Montgomery County,Arkansas,AR,9.66,2006
Nevada County,Arkansas,AR,10.34,2006
Newton County,Arkansas,AR,12.50,2006
Ouachita County,Arkansas,AR,9.71,2006
Perry County,Arkansas,AR,10.18,2006
Phillips County,Arkansas,AR,8.38,2006
Pike County,Arkansas,AR,9.48,2006
Poinsett County,Arkansas,AR,13.99,2006
Polk County,Arkansas,AR,9.90,2006
Pope County,Arkansas,AR,11.27,2006
Prairie County,Arkansas,AR,9.49,2006
Pulaski County,Arkansas,AR,9.33,2006
Randolph County,Arkansas,AR,18.52,2006
St. Francis County,Arkansas,AR,10.36,2006
Saline County,Arkansas,AR,10.22,2006
Scott County,Arkansas,AR,8.12,2006
Searcy County,Arkansas,AR,13.21,2006
Sebastian County,Arkansas,AR,9.41,2006
Sevier County,Arkansas,AR,9.96,2006
Sharp County,Arkansas,AR,14.56,2006
Stone County,Arkansas,AR,13.73,2006
Union County,Arkansas,AR,8.25,2006
Van Buren County,Arkansas,AR,11.01,2006
Washington County,Arkansas,AR,15.99,2006
White County,Arkansas,AR,8.14,2006
Woodruff County,Arkansas,AR,10.27,2006
Yell County,Arkansas,AR,11.50,2006
Alameda County,California,CA,0.00,2006
Alpine County,California,CA,0.77,2006
Amador County,California,CA,0.07,2006
Butte County,California,CA,0.01,2006
