,county,year,infections
19777,"NE, Douglas",2017,6
21099,"NE, Douglas",2018,71
22129,"NE, Douglas",2019,7
22676,"NE, Douglas",2020,2
1556,"NE, Dundy",2002,
3910,"NE, Dundy",2003,7
7357,"NE, Dundy",2005,
9986,"NE, Dundy",2007,1
10998,"NE, Dundy",2008,
16469,"NE, Dundy",2014,2
19778,"NE, Dundy",2017,
1557,"NE, Fillmore",2002,
3911,"NE, Fillmore",2003,23
5929,"NE, Fillmore",2004,
7358,"NE, Fillmore",2005,3
8730,"NE, Fillmore",2006,2
9987,"NE, Fillmore",2007,
16470,"NE, Fillmore",2014,2
19779,"NE, Fillmore",2017,1
21100,"NE, Fillmore",2018,5
22130,"NE, Fillmore",2019,
1558,"NE, Franklin",2002,2
3912,"NE, Franklin",2003,10
5930,"NE, Franklin",2004,
7359,"NE, Franklin",2005,1
8731,"NE, Franklin",2006,1
16471,"NE, Franklin",2014,
19780,"NE, Franklin",2017,
21101,"NE, Franklin",2018,2
1559,"NE, Frontier",2002,
3913,"NE, Frontier",2003,7
5931,"NE, Frontier",2004,1
8732,"NE, Frontier",2006,1
9988,"NE, Frontier",2007,
13991,"NE, Frontier",2012,
15364,"NE, Frontier",2013,1
18592,"NE, Frontier",2016,1
1560,"NE, Furnas",2002,1
3914,"NE, Furnas",2003,25
5932,"NE, Furnas",2004,1
7360,"NE, Furnas",2005,3
8733,"NE, Furnas",2006,3
9989,"NE, Furnas",2007,1
13992,"NE, Furnas",2012,1
15365,"NE, Furnas",2013,3
16472,"NE, Furnas",2014,1
18593,"NE, Furnas",2016,2
21102,"NE, Furnas",2018,
1561,"NE, Gage",2002,4
3915,"NE, Gage",2003,30
7361,"NE, Gage",2005,2
8734,"NE, Gage",2006,3
9990,"NE, Gage",2007,1
13993,"NE, Gage",2012,
15366,"NE, Gage",2013,5
17498,"NE, Gage",2015,1
18594,"NE, Gage",2016,1
19781,"NE, Gage",2017,1
21103,"NE, Gage",2018,2
22131,"NE, Gage",2019,1
1562,"NE, Garden",2002,
3916,"NE, Garden",2003,18
5933,"NE, Garden",2004,
7362,"NE, Garden",2005,
8735,"NE, Garden",2006,
9991,"NE, Garden",2007,1
10999,"NE, Garden",2008,
11763,"NE, Garden",2009,
12462,"NE, Garden",2010,
13025,"NE, Garden",2011,
13994,"NE, Garden",2012,
15367,"NE, Garden",2013,2
16473,"NE, Garden",2014,
17499,"NE, Garden",2015,1
18595,"NE, Garden",2016,
19782,"NE, Garden",2017,
21104,"NE, Garden",2018,1
22132,"NE, Garden",2019,
22677,"NE, Garden",2020,
1563,"NE, Garfield",2002,
3917,"NE, Garfield",2003,16
5934,"NE, Garfield",2004,
7363,"NE, Garfield",2005,
8736,"NE, Garfield",2006,1
9992,"NE, Garfield",2007,
11000,"NE, Garfield",2008,
11764,"NE, Garfield",2009,
12463,"NE, Garfield",2010,
13026,"NE, Garfield",2011,
13995,"NE, Garfield",2012,1
15368,"NE, Garfield",2013,
16474,"NE, Garfield",2014,
17500,"NE, Garfield",2015,1
18596,"NE, Garfield",2016,
19783,"NE, Garfield",2017,
21105,"NE, Garfield",2018,
22678,"NE, Garfield",2020,
1564,"NE, Gosper",2002,2
3918,"NE, Gosper",2003,3
5935,"NE, Gosper",2004,
8737,"NE, Gosper",2006,1
13996,"NE, Gosper",2012,1
15369,"NE, Gosper",2013,1
16475,"NE, Gosper",2014,1
1565,"NE, Grant",2002,
3919,"NE, Grant",2003,1
7364,"NE, Grant",2005,1
9993,"NE, Grant",2007,1
13027,"NE, Grant",2011,1
16476,"NE, Grant",2014,1
21106,"NE, Grant",2018,
1566,"NE, Greeley",2002,
3920,"NE, Greeley",2003,8
13997,"NE, Greeley",2012,2
16477,"NE, Greeley",2014,2
1567,"NE, Hall",2002,21
3921,"NE, Hall",2003,123
5936,"NE, Hall",2004,
7365,"NE, Hall",2005,6
8738,"NE, Hall",2006,12
9994,"NE, Hall",2007,9
11001,"NE, Hall",2008,3
