,county,year,infections
1537,"NE, Buffalo",2002,7
3891,"NE, Buffalo",2003,167
5912,"NE, Buffalo",2004,4
7339,"NE, Buffalo",2005,13
8715,"NE, Buffalo",2006,28
9970,"NE, Buffalo",2007,6
10984,"NE, Buffalo",2008,
11752,"NE, Buffalo",2009,1
12448,"NE, Buffalo",2010,2
13974,"NE, Buffalo",2012,6
15346,"NE, Buffalo",2013,13
16455,"NE, Buffalo",2014,11
17486,"NE, Buffalo",2015,2
18577,"NE, Buffalo",2016,
19767,"NE, Buffalo",2017,2
21083,"NE, Buffalo",2018,5
22124,"NE, Buffalo",2019,1
22672,"NE, Buffalo",2020,1
1538,"NE, Burt",2002,1
3892,"NE, Burt",2003,4
5913,"NE, Burt",2004,1
7340,"NE, Burt",2005,1
8716,"NE, Burt",2006,
9971,"NE, Burt",2007,3
11753,"NE, Burt",2009,
12449,"NE, Burt",2010,1
13975,"NE, Burt",2012,
15347,"NE, Burt",2013,1
16456,"NE, Burt",2014,1
21084,"NE, Burt",2018,1
1539,"NE, Butler",2002,
3893,"NE, Butler",2003,11
5914,"NE, Butler",2004,
7341,"NE, Butler",2005,2
8717,"NE, Butler",2006,1
9972,"NE, Butler",2007,1
10985,"NE, Butler",2008,1
11754,"NE, Butler",2009,
12450,"NE, Butler",2010,
13976,"NE, Butler",2012,3
15348,"NE, Butler",2013,2
17487,"NE, Butler",2015,2
18578,"NE, Butler",2016,1
21085,"NE, Butler",2018,4
1540,"NE, Cass",2002,1
3894,"NE, Cass",2003,2
5915,"NE, Cass",2004,1
9973,"NE, Cass",2007,
10986,"NE, Cass",2008,
13015,"NE, Cass",2011,1
17488,"NE, Cass",2015,1
21086,"NE, Cass",2018,9
1541,"NE, Cedar",2002,1
3895,"NE, Cedar",2003,2
5916,"NE, Cedar",2004,
7342,"NE, Cedar",2005,
9974,"NE, Cedar",2007,2
10987,"NE, Cedar",2008,1
12451,"NE, Cedar",2010,1
13977,"NE, Cedar",2012,1
15349,"NE, Cedar",2013,6
16457,"NE, Cedar",2014,1
18579,"NE, Cedar",2016,3
1542,"NE, Chase",2002,1
3896,"NE, Chase",2003,30
5917,"NE, Chase",2004,2
7343,"NE, Chase",2005,
8718,"NE, Chase",2006,3
9975,"NE, Chase",2007,
10988,"NE, Chase",2008,
11755,"NE, Chase",2009,
12452,"NE, Chase",2010,
13016,"NE, Chase",2011,
13978,"NE, Chase",2012,2
15350,"NE, Chase",2013,
16458,"NE, Chase",2014,
18580,"NE, Chase",2016,1
19768,"NE, Chase",2017,
21087,"NE, Chase",2018,1
1543,"NE, Cherry",2002,1
3897,"NE, Cherry",2003,15
5918,"NE, Cherry",2004,
7344,"NE, Cherry",2005,1
8719,"NE, Cherry",2006,
9976,"NE, Cherry",2007,1
10989,"NE, Cherry",2008,
11756,"NE, Cherry",2009,
12453,"NE, Cherry",2010,
13017,"NE, Cherry",2011,
13979,"NE, Cherry",2012,
15351,"NE, Cherry",2013,4
16459,"NE, Cherry",2014,
17489,"NE, Cherry",2015,
18581,"NE, Cherry",2016,
21088,"NE, Cherry",2018,
1544,"NE, Cheyenne",2002,
3898,"NE, Cheyenne",2003,5
7345,"NE, Cheyenne",2005,4
8720,"NE, Cheyenne",2006,
9977,"NE, Cheyenne",2007,1
10990,"NE, Cheyenne",2008,1
12454,"NE, Cheyenne",2010,3
13980,"NE, Cheyenne",2012,1
15352,"NE, Cheyenne",2013,1
16460,"NE, Cheyenne",2014,1
19769,"NE, Cheyenne",2017,2
1545,"NE, Clay",2002,
3899,"NE, Clay",2003,38
5919,"NE, Clay",2004,
7346,"NE, Clay",2005,5
8721,"NE, Clay",2006,4
9978,"NE, Clay",2007,3
13018,"NE, Clay",2011,
13981,"NE, Clay",2012,1
15353,"NE, Clay",2013,2
16461,"NE, Clay",2014,2
18582,"NE, Clay",2016,1
21089,"NE, Clay",2018,1
1546,"NE, Colfax",2002,1
3900,"NE, Colfax",2003,11
5920,"NE, Colfax",2004,1
7347,"NE, Colfax",2005,
8722,"NE, Colfax",2006,2
12455,"NE, Colfax",2010,1
13982,"NE, Colfax",2012,4
15354,"NE, Colfax",2013,1
17490,"NE, Colfax",2015,1
18583,"NE, Colfax",2016,1
21090,"NE, Colfax",2018,3
1547,"NE, Cuming",2002,1
3901,"NE, Cuming",2003,7
5921,"NE, Cuming",2004,
7348,"NE, Cuming",2005,5
8723,"NE, Cuming",2006,4
9979,"NE, Cuming",2007,3
12456,"NE, Cuming",2010,
13983,"NE, Cuming",2012,1
15355,"NE, Cuming",2013,2
16462,"NE, Cuming",2014,1
17491,"NE, Cuming",2015,1
18584,"NE, Cuming",2016,4
19770,"NE, Cuming",2017,3
21091,"NE, Cuming",2018,3
22125,"NE, Cuming",2019,1
1548,"NE, Custer",2002,6
3902,"NE, Custer",2003,63
5922,"NE, Custer",2004,1
7349,"NE, Custer",2005,2
8724,"NE, Custer",2006,2
9980,"NE, Custer",2007,1
10991,"NE, Custer",2008,1
11757,"NE, Custer",2009,1
12457,"NE, Custer",2010,
13984,"NE, Custer",2012,6
15356,"NE, Custer",2013,2
16463,"NE, Custer",2014,
17492,"NE, Custer",2015,2
18585,"NE, Custer",2016,2
19771,"NE, Custer",2017,1
21092,"NE, Custer",2018,1
22126,"NE, Custer",2019,1
1549,"NE, Dakota",2002,
3903,"NE, Dakota",2003,1
7350,"NE, Dakota",2005,
13985,"NE, Dakota",2012,1
15357,"NE, Dakota",2013,2
16464,"NE, Dakota",2014,1
18586,"NE, Dakota",2016,1
21093,"NE, Dakota",2018,
22673,"NE, Dakota",2020,1
1550,"NE, Dawes",2002,
3904,"NE, Dawes",2003,2
5923,"NE, Dawes",2004,
7351,"NE, Dawes",2005,
8725,"NE, Dawes",2006,
9981,"NE, Dawes",2007,2
10992,"NE, Dawes",2008,1
11758,"NE, Dawes",2009,
12458,"NE, Dawes",2010,
13019,"NE, Dawes",2011,
13986,"NE, Dawes",2012,1
15358,"NE, Dawes",2013,
16465,"NE, Dawes",2014,
17493,"NE, Dawes",2015,
18587,"NE, Dawes",2016,1
19772,"NE, Dawes",2017,
21094,"NE, Dawes",2018,
22127,"NE, Dawes",2019,
1551,"NE, Dawson",2002,7
3905,"NE, Dawson",2003,80
5924,"NE, Dawson",2004,5
7352,"NE, Dawson",2005,5
8726,"NE, Dawson",2006,9
9982,"NE, Dawson",2007,3
10993,"NE, Dawson",2008,1
11759,"NE, Dawson",2009,1
12459,"NE, Dawson",2010,
13020,"NE, Dawson",2011,1
13987,"NE, Dawson",2012,4
15359,"NE, Dawson",2013,11
16466,"NE, Dawson",2014,5
17494,"NE, Dawson",2015,1
18588,"NE, Dawson",2016,1
19773,"NE, Dawson",2017,1
21095,"NE, Dawson",2018,7
22128,"NE, Dawson",2019,
22674,"NE, Dawson",2020,
1552,"NE, Deuel",2002,
3906,"NE, Deuel",2003,7
5925,"NE, Deuel",2004,1
7353,"NE, Deuel",2005,2
10994,"NE, Deuel",2008,
11760,"NE, Deuel",2009,1
13021,"NE, Deuel",2011,
15360,"NE, Deuel",2013,1
19774,"NE, Deuel",2017,2
21096,"NE, Deuel",2018,2
1553,"NE, Dixon",2002,
3907,"NE, Dixon",2003,1
5926,"NE, Dixon",2004,
7354,"NE, Dixon",2005,
8727,"NE, Dixon",2006,1
9983,"NE, Dixon",2007,1
10995,"NE, Dixon",2008,1
11761,"NE, Dixon",2009,1
13022,"NE, Dixon",2011,
13988,"NE, Dixon",2012,2
15361,"NE, Dixon",2013,
17495,"NE, Dixon",2015,
18589,"NE, Dixon",2016,
19775,"NE, Dixon",2017,1
21097,"NE, Dixon",2018,1
1554,"NE, Dodge",2002,1
3908,"NE, Dodge",2003,36
5927,"NE, Dodge",2004,
7355,"NE, Dodge",2005,4
8728,"NE, Dodge",2006,7
9984,"NE, Dodge",2007,4
10996,"NE, Dodge",2008,1
12460,"NE, Dodge",2010,
13023,"NE, Dodge",2011,1
13989,"NE, Dodge",2012,2
15362,"NE, Dodge",2013,4
16467,"NE, Dodge",2014,3
17496,"NE, Dodge",2015,1
18590,"NE, Dodge",2016,1
19776,"NE, Dodge",2017,1
21098,"NE, Dodge",2018,9
22675,"NE, Dodge",2020,
1555,"NE, Douglas",2002,8
3909,"NE, Douglas",2003,59
5928,"NE, Douglas",2004,2
7356,"NE, Douglas",2005,13
8729,"NE, Douglas",2006,24
9985,"NE, Douglas",2007,11
10997,"NE, Douglas",2008,4
11762,"NE, Douglas",2009,3
12461,"NE, Douglas",2010,8
13024,"NE, Douglas",2011,10
13990,"NE, Douglas",2012,15
15363,"NE, Douglas",2013,17
16468,"NE, Douglas",2014,5
17497,"NE, Douglas",2015,3
18591,"NE, Douglas",2016,7
